iter	Passed	Remaining
0	59	59329
1	59	29805
2	60	19954
3	60	15033
4	60	12082
5	61	10113
6	61	8707
7	61	7665
8	62	6845
9	62	6186
10	62	5649
11	63	5200
12	63	4818
13	63	4491
14	64	4208
15	64	3964
16	64	3746
17	65	3552
18	65	3378
19	65	3225
20	66	3084
21	66	2957
22	66	2841
23	67	2733
24	67	2634
25	67	2543
26	68	2459
27	68	2379
28	68	2305
29	69	2237
30	69	2172
31	69	2115
32	70	2057
33	70	2005
34	70	1955
35	71	1907
36	71	1863
37	71	1819
38	72	1778
39	72	1739
40	72	1702
41	73	1667
42	73	1633
43	73	1600
44	74	1570
45	74	1540
46	74	1512
47	74	1485
48	75	1459
49	75	1433
50	75	1409
51	76	1386
52	76	1364
53	76	1344
54	77	1323
55	77	1303
56	77	1285
57	78	1267
58	78	1248
59	78	1231
60	78	1214
61	79	1197
62	79	1181
63	79	1165
64	79	1150
65	80	1135
66	80	1121
67	80	1104
68	80	1091
69	81	1077
70	81	1065
71	81	1054
72	82	1042
73	82	1030
74	82	1019
75	82	1008
76	83	998
77	83	987
78	83	977
79	84	967
80	84	957
81	84	948
82	84	938
83	85	929
84	85	919
85	85	910
86	85	900
87	86	892
88	86	884
89	86	876
90	86	868
91	87	860
92	87	853
93	87	845
94	88	838
95	88	831
96	88	824
97	88	817
98	89	811
99	89	804
100	89	798
101	89	790
102	90	784
103	90	777
104	90	771
105	90	765
106	91	760
107	91	754
108	91	748
109	91	743
110	92	737
111	92	732
112	92	727
113	92	722
114	93	717
115	93	711
116	93	706
117	93	702
118	94	696
119	94	691
120	94	687
121	94	683
122	95	677
123	95	673
124	95	668
125	95	664
126	96	660
127	96	655
128	96	651
129	96	647
130	97	644
131	97	640
132	97	636
133	97	632
134	98	628
135	98	625
136	98	621
137	98	617
138	99	614
139	99	610
140	99	607
141	99	603
142	100	600
143	100	597
144	100	594
145	101	590
146	101	587
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	566
154	103	563
155	103	560
156	103	557
157	104	555
158	104	553
159	104	550
160	105	547
161	105	544
162	105	542
163	105	539
164	106	537
165	106	534
166	106	531
167	106	529
168	107	526
169	107	524
170	107	522
171	108	519
172	108	517
173	108	515
174	108	513
175	109	511
176	109	508
177	109	506
178	109	504
179	110	501
180	110	499
181	110	497
182	110	494
183	111	492
184	111	490
185	111	488
186	111	486
187	112	484
188	112	482
189	112	480
190	112	478
