iter	Passed	Remaining
0	1	1152
1	1	771
2	1	648
3	2	579
4	2	532
5	3	503
6	3	481
7	3	461
8	4	446
9	4	434
10	4	427
11	5	418
12	5	410
13	5	404
14	6	400
15	6	397
16	6	392
17	7	389
18	7	384
19	7	381
20	8	381
21	8	379
22	8	376
23	9	375
24	9	372
25	9	369
26	10	367
27	10	366
28	10	364
29	11	365
30	11	364
31	12	364
32	12	363
33	12	361
34	13	363
35	13	361
36	13	360
37	14	360
38	14	358
39	14	359
40	15	358
41	15	359
42	16	360
43	16	358
44	16	356
45	17	355
46	17	354
47	17	352
48	18	351
49	18	350
50	18	351
51	19	350
52	19	349
53	20	351
54	20	350
55	20	350
56	21	349
57	21	347
58	21	347
59	22	346
60	22	345
61	22	344
62	23	344
63	23	343
64	23	341
65	24	339
66	24	338
67	24	338
68	24	337
69	25	336
70	25	335
71	25	335
72	26	334
73	26	333
74	27	333
75	27	333
76	27	333
77	28	332
78	28	332
79	28	332
80	29	331
81	29	330
82	29	327
83	30	327
84	30	326
85	30	326
86	31	325
87	31	324
88	31	324
89	31	323
90	32	322
91	32	322
92	32	321
93	33	320
94	33	320
95	34	320
96	34	321
97	34	321
98	35	320
99	35	320
100	35	319
101	36	318
102	36	317
103	36	317
104	37	317
105	37	317
106	37	316
107	38	316
108	38	315
109	39	315
110	39	315
111	39	314
112	40	314
113	40	314
114	40	313
115	41	313
116	41	311
117	41	311
118	41	310
119	42	309
120	42	309
121	42	308
122	43	308
123	43	308
124	44	308
125	44	307
126	44	306
127	44	305
128	45	305
129	45	305
130	45	304
131	46	304
132	46	304
133	47	303
134	47	303
135	47	303
136	48	303
137	48	302
138	48	302
139	49	301
140	49	301
141	49	300
142	50	300
143	50	299
144	50	299
145	51	299
146	51	298
147	51	298
148	52	297
149	52	297
150	52	296
151	53	296
152	53	295
153	53	295
154	54	294
155	54	294
156	54	294
157	55	293
158	55	292
159	55	292
160	55	291
161	56	290
162	56	289
163	56	289
164	57	289
165	57	288
166	57	288
167	58	288
168	58	288
169	58	288
170	59	287
171	59	286
172	59	286
173	60	286
174	60	285
175	60	285
176	61	284
177	61	283
178	61	283
179	62	283
180	62	283
181	62	283
182	63	282
183	63	282
184	64	281
185	64	281
186	64	281
187	65	280
188	65	280
189	65	280
190	66	279
191	66	279
192	66	278
193	67	278
194	67	278
195	67	277
196	68	277
197	68	277
198	68	276
199	69	276
200	69	275
201	69	275
202	69	274
203	70	274
204	70	274
205	70	273
206	71	273
207	71	272
208	72	272
209	72	272
210	72	271
211	72	271
212	73	270
213	73	270
214	74	270
215	74	270
216	74	269
217	75	269
218	75	268
219	75	268
220	76	268
221	76	267
222	76	267
223	77	267
224	77	267
225	77	266
226	78	266
227	78	266
228	79	265
229	79	265
230	79	265
231	80	264
232	80	264
233	80	264
234	81	263
235	81	263
236	81	262
237	81	262
238	82	261
239	82	261
240	82	261
241	83	260
242	83	260
243	84	260
244	84	259
245	84	259
246	84	259
247	85	258
248	85	258
249	86	258
250	86	257
251	86	257
252	87	257
253	87	256
254	87	256
255	88	255
256	88	255
257	88	255
258	89	254
259	89	254
260	89	254
261	90	253
262	90	253
263	90	253
264	91	253
265	91	252
266	91	252
267	92	251
268	92	251
269	92	251
270	93	250
271	93	250
272	94	250
273	94	250
274	94	249
275	95	249
276	95	249
277	95	248
278	96	248
279	96	248
280	96	247
281	97	247
282	97	247
283	97	246
284	98	246
285	98	246
286	98	245
287	99	245
288	99	244
289	99	244
290	100	244
291	100	243
292	100	243
293	101	242
294	101	242
295	101	242
296	102	241
297	102	241
298	102	241
299	103	240
300	103	240
301	103	239
302	104	239
303	104	238
304	104	238
305	104	238
306	105	237
307	105	237
308	105	236
309	106	236
310	106	236
311	106	235
312	107	235
313	107	234
314	107	234
315	108	234
316	108	233
317	108	233
318	109	233
319	109	233
320	110	232
321	110	232
322	110	232
323	111	231
324	111	231
325	111	230
326	112	230
327	112	230
328	112	229
329	113	229
330	113	229
331	113	228
332	113	228
333	114	227
334	114	227
335	115	227
336	115	226
337	115	226
338	116	226
339	116	225
340	116	225
341	116	225
342	117	224
343	117	224
344	118	224
345	118	223
346	118	223
347	119	223
348	119	222
349	119	222
350	119	221
351	120	221
352	120	220
353	120	220
354	121	220
355	121	220
356	121	219
357	122	219
358	122	218
359	122	218
360	123	218
361	123	217
362	123	217
363	124	217
364	124	216
365	125	216
366	125	216
367	125	215
368	126	215
369	126	215
370	126	215
371	127	214
372	127	214
373	127	214
374	128	213
375	128	213
376	128	213
377	129	212
378	129	212
379	129	211
380	130	211
381	130	211
382	130	210
383	131	210
384	131	210
385	131	209
386	132	209
387	132	209
388	132	208
389	133	208
390	133	207
391	133	207
392	134	207
393	134	206
394	134	206
395	135	206
396	135	205
397	135	205
398	135	204
399	136	204
400	136	204
401	137	204
402	137	203
403	137	203
404	138	203
405	138	202
406	138	202
407	139	202
408	139	201
409	139	201
410	140	201
411	140	200
412	141	200
413	141	200
414	141	199
415	142	199
416	142	199
417	142	198
418	142	198
419	143	197
420	143	197
421	143	197
422	144	196
423	144	196
424	145	196
425	145	195
426	145	195
427	146	195
428	146	194
429	146	194
430	147	194
431	147	193
432	147	193
433	148	193
434	148	192
435	148	192
436	149	192
437	149	191
438	149	191
439	150	191
440	150	190
441	150	190
442	151	189
443	151	189
444	151	189
445	152	188
446	152	188
447	152	188
448	153	187
449	153	187
450	153	187
451	154	186
452	154	186
453	154	186
454	155	186
455	155	185
456	156	185
457	156	185
458	156	184
459	157	184
460	157	183
461	157	183
462	157	183
463	158	182
464	158	182
465	158	182
466	159	181
467	159	181
468	159	181
469	160	180
470	160	180
471	160	180
472	161	179
473	161	179
474	162	179
475	162	178
476	162	178
477	163	178
478	163	177
479	163	177
480	164	177
481	164	176
482	164	176
483	165	175
484	165	175
485	165	175
486	166	174
487	166	174
488	166	174
489	167	173
490	167	173
491	167	173
492	167	172
493	168	172
494	168	172
495	169	171
496	169	171
497	169	171
498	170	170
499	170	170
500	170	170
501	171	169
502	171	169
503	171	169
504	172	168
505	172	168
506	172	168
507	173	167
508	173	167
509	173	166
510	174	166
511	174	166
512	174	165
513	175	165
514	175	165
515	175	165
516	176	164
517	176	164
518	177	164
519	177	163
520	177	163
521	178	163
522	178	162
523	178	162
524	179	161
525	179	161
526	179	161
527	180	161
528	180	161
529	181	160
530	181	160
531	181	159
532	182	159
533	182	159
534	182	158
535	183	158
536	183	158
537	183	157
538	184	157
539	184	157
540	184	156
541	185	156
542	185	156
543	186	156
544	186	155
545	186	155
546	187	154
547	187	154
548	187	154
549	188	153
550	188	153
551	188	153
552	189	152
553	189	152
554	189	152
555	190	151
556	190	151
557	190	151
558	191	150
559	191	150
560	192	150
561	192	150
562	192	149
563	193	149
564	193	149
565	193	148
566	194	148
567	194	147
568	194	147
569	195	147
570	195	146
571	195	146
572	196	146
573	196	145
574	196	145
575	197	145
576	197	144
577	197	144
578	198	144
579	198	143
580	198	143
581	199	143
582	199	142
583	200	142
584	200	142
585	201	142
586	201	141
587	201	141
588	201	140
589	202	140
590	202	140
591	203	139
592	203	139
593	203	139
594	204	138
595	204	138
596	204	138
597	204	137
598	205	137
599	205	137
600	206	136
601	206	136
602	206	136
603	207	135
604	207	135
605	207	135
606	208	134
607	208	134
608	208	134
609	209	133
610	209	133
611	209	133
612	210	132
613	210	132
614	210	132
615	211	131
616	211	131
617	211	130
618	212	130
619	212	130
620	213	130
621	213	129
622	213	129
623	214	129
624	214	128
625	214	128
626	215	128
627	215	127
628	215	127
629	216	127
630	216	126
631	216	126
632	217	125
633	217	125
634	218	125
635	218	124
636	218	124
637	218	124
638	219	123
639	219	123
640	219	123
641	220	122
642	220	122
643	220	122
644	221	121
645	221	121
646	221	121
647	222	120
648	222	120
649	223	120
650	223	119
651	223	119
652	223	119
653	224	118
654	224	118
655	224	117
656	225	117
657	225	117
658	225	116
659	226	116
660	226	116
661	226	115
662	227	115
663	227	115
664	227	114
665	228	114
666	228	114
667	228	113
668	229	113
669	229	113
670	229	112
671	230	112
672	230	112
673	231	111
674	231	111
675	231	111
676	232	110
677	232	110
678	232	110
679	233	109
680	233	109
681	234	109
682	234	108
683	234	108
684	235	108
685	235	107
686	235	107
687	236	107
688	236	106
689	236	106
690	237	106
691	237	105
692	238	105
693	238	105
694	238	104
695	239	104
696	239	104
697	239	103
698	240	103
699	240	103
700	240	102
701	241	102
702	241	101
703	241	101
704	242	101
705	242	100
706	242	100
707	243	100
708	243	99
709	243	99
710	244	99
711	244	98
712	244	98
713	245	98
714	245	97
715	245	97
716	246	97
717	246	96
718	246	96
719	247	96
720	247	95
721	248	95
722	248	95
723	248	94
724	249	94
725	249	94
726	250	93
727	250	93
728	250	93
729	251	92
730	251	92
